timestamp,open,high,low,close,volume
1704063600000,2063.4,2074.1,2063.1,2072.3,257.44025781
1704067200000,2072.4,2087.6,2071.6,2086.2,92.09514452
1704070800000,2085.6,2095.6,2084.2,2091.4,42.93850794
1704074400000,2091.3,2092.2,2081.8,2082.1,25.46655512
1704078000000,2081.9,2082.5,2064.0,2066.3,109.34125878
1704081600000,2064.6,2069.4,2057.7,2069.2,56.95275696
1704085200000,2070.2,2073.5,2063.3,2065.3,38.49790909
1704088800000,2065.2,2072.9,2065.0,2072.1,27.18598004
1704092400000,2072.8,2076.8,2072.8,2075.3,41.73396209
1704096000000,2075.2,2077.0,2070.0,2075.5,73.07578514
1704099600000,2075.6,2088.5,2075.6,2088.4,90.73882494
1704103200000,2088.4,2090.4,2086.4,2087.8,72.80468245
1704106800000,2088.2,2091.3,2085.9,2090.6,65.62341891
1704110400000,2091.2,2092.8,2085.9,2086.1,105.02856604
1704114000000,2087.0,2094.3,2085.7,2092.1,59.25022661
1704117600000,2091.4,2091.4,2083.3,2088.8,90.32056853
1704121200000,2088.3,2102.7,2086.8,2100.4,124.94639777
1704124800000,2100.3,2104.2,2093.0,2095.3,92.85327442
1704128400000,2096.2,2104.4,2093.2,2100.0,163.53066716
1704132000000,2100.0,2116.2,2100.0,2110.9,271.67655289
1704135600000,2112.8,2124.4,2107.0,2121.5,518.98023726
1704139200000,2121.3,2132.0,2119.0,2123.6,315.60051442
1704142800000,2123.6,2127.7,2114.5,2119.6,164.62758485
1704146400000,2120.1,2121.3,2105.9,2114.9,154.02983167
1704150000000,2115.9,2133.0,2115.9,2133.0,170.41940232
1704153600000,2132.8,2167.0,2128.2,2164.9,337.44933048
1704157200000,2164.0,2171.1,2148.3,2155.2,218.17233236
1704160800000,2155.8,2163.2,2153.8,2163.1,165.12336875
1704164400000,2163.8,2168.5,2154.3,2165.4,30.79395975
1704168000000,2167.7,2170.5,2159.8,2169.1,155.4731603
1704171600000,2167.5,2171.3,2156.2,2156.2,97.09864105
1704175200000,2156.8,2162.0,2153.5,2154.1,129.45632918
1704178800000,2155.2,2169.5,2154.8,2168.0,199.10973707
1704182400000,2167.4,2206.0,2160.7,2202.1,710.75496336
1704186000000,2201.1,2202.8,2189.5,2193.5,366.67269732
1704189600000,2193.8,2196.0,2175.2,2179.5,330.54741045
1704193200000,2180.0,2188.0,2170.2,2181.3,258.28209028
