timestamp,open,high,low,close,volume
1672527600000,9.2894,9.3243,9.2236,9.292,1473.54878029
1672531200000,9.3137,9.3519,9.2568,9.3249,2099.12542322
1672534800000,9.3035,9.3984,9.3,9.3579,1108.23565797
1672538400000,9.3601,9.4087,9.3184,9.3301,711.04442389
1672542000000,9.3193,9.3294,9.2527,9.2967,1559.36971634
1672545600000,9.3099,9.3162,9.1711,9.1968,262.36674156
1672549200000,9.17,9.17,9.0687,9.1301,642.90500104
1672552800000,9.1582,9.1657,9.1148,9.1297,366.71056505
1672556400000,9.1362,9.1492,9.0413,9.1475,1915.52459996
1672560000000,9.1311,9.1438,9.0485,9.0857,4210.31980987
1672563600000,9.0654,9.1715,9.0654,9.142,4354.03754176
1672567200000,9.142,9.1658,9.109,9.1574,4262.29182873
1672570800000,9.1419,9.32,9.1419,9.2775,5989.79644987
1672574400000,9.2775,9.291,9.23,9.2718,2544.75441366
1672578000000,9.2896,9.2988,9.1736,9.212,4091.44391256
1672581600000,9.2,9.2591,9.1612,9.1999,2089.50901228
1672585200000,9.1801,9.2193,9.15,9.2148,3095.20428015
1672588800000,9.2,9.2624,9.1845,9.2041,2204.79915834
1672592400000,9.2042,9.3027,9.2042,9.2708,1269.48058448
1672596000000,9.3035,9.3749,9.2902,9.3329,6563.10076432
1672599600000,9.3158,9.3749,9.2607,9.3089,1664.45608905
1672603200000,9.292,9.3749,9.2659,9.3158,2624.47725875
1672606800000,9.3015,9.3399,9.2808,9.3008,2620.67147487
1672610400000,9.3217,9.3585,9.2961,9.3269,1803.86360118
1672614000000,9.3007,9.3744,9.283,9.3108,1951.8507843
1672617600000,9.3338,9.3338,9.2106,9.257,1790.00777451
1672621200000,9.2318,9.2797,9.16,9.1875,1279.67832313
1672624800000,9.2056,9.2897,9.1661,9.2774,1709.05099231
1672628400000,9.2516,9.3687,9.2323,9.3425,1538.89708063
1672632000000,9.3237,9.3749,9.2905,9.3087,967.40228715
1672635600000,9.3197,9.3398,9.2844,9.3368,632.6633328
1672639200000,9.3237,9.3592,9.3185,9.3469,2914.28670549
1672642800000,9.345,11.222,9.345,10.394,64124.51326566
1672646400000,10.394,10.642,10.292,10.482,27970.48708751
1672650000000,10.48,10.48,10.314,10.426,11944.46840208
1672653600000,10.431,10.431,10.191,10.328,12693.89290486
1672657200000,10.34,10.34,10.211,10.292,8154.39751055
1672660800000,10.31,10.462,10.287,10.39,7130.98091848
1672664400000,10.383,10.437,10.343,10.41,5844.05723464
1672668000000,10.418,10.472,10.373,10.426,5097.28934335
1672671600000,10.402,10.5,10.361,10.427,7058.77946764
1672675200000,10.424,10.49,10.383,10.409,3906.71952396
1672678800000,10.43,10.485,10.388,10.462,7529.99745038
1672682400000,10.457,10.548,10.432,10.462,13267.13602377
1672686000000,10.444,10.698,10.421,10.564,10352.210231
1672689600000,10.564,10.645,10.5,10.621,12059.80693392
1672693200000,10.622,10.687,10.56,10.655,5598.14401492
1672696800000,10.64,10.679,10.528,10.556,8254.81638076
1672700400000,10.555,10.622,10.523,10.56,3213.46519587
1672704000000,10.564,10.61,10.475,10.571,3801.91491237
1672707600000,10.579,10.599,10.32,10.377,1495.26689517
1672711200000,10.382,10.455,10.359,10.436,906.32193584
1672714800000,10.42,10.527,10.391,10.496,450.66799441
1672718400000,10.517,10.599,10.488,10.574,2128.74199755
1672722000000,10.578,11.057,10.571,11.021,9126.12347971
1672725600000,11.04,11.289,11.001,11.019,15076.29481867
1672729200000,11.043,11.258,11.0,11.237,6838.76672619
1672732800000,11.219,11.279,11.056,11.151,14750.91590163
1672736400000,11.149,11.248,11.116,11.194,5943.86319817
1672740000000,11.201,11.31,11.173,11.251,9001.63827244
1672743600000,11.269,11.4,11.229,11.263,13669.58484235
1672747200000,11.24,11.291,11.171,11.225,9740.41113773
1672750800000,11.247,11.404,11.211,11.363,9680.26302799
1672754400000,11.363,11.958,11.363,11.577,44091.58699068
1672758000000,11.594,12.75,11.566,12.383,69076.83316781
1672761600000,12.377,13.1,12.25,12.401,60823.67758082
1672765200000,12.446,12.585,12.05,12.195,51932.58880766
1672768800000,12.2,12.327,12.01,12.233,30395.94098231
1672772400000,12.211,12.48,12.182,12.235,23206.58586379
1672776000000,12.252,12.49,12.235,12.39,15676.3308258
1672779600000,12.406,12.639,12.303,12.559,21291.59806086
1672783200000,12.569,12.7,12.405,12.678,18441.45031658
1672786800000,12.654,12.714,12.542,12.707,11223.00312377
1672790400000,12.693,13.169,12.537,12.871,31843.38296328
1672794000000,12.899,13.039,12.687,12.968,11399.72537275
1672797600000,12.969,13.225,12.969,13.066,8373.93072295
1672801200000,13.073,13.26,12.755,12.823,7427.65738589
1672804800000,12.87,12.891,12.57,12.685,22339.6899039
1672808400000,12.683,12.983,12.661,12.983,12583.00557745
1672812000000,12.979,13.249,12.91,13.246,12690.77506297
1672815600000,13.243,13.4,13.021,13.389,25657.14167794
1672819200000,13.364,13.364,12.966,12.966,29551.11351044
1672822800000,12.982,13.036,12.788,12.99,16416.9073039
1672826400000,12.99,13.004,12.782,12.822,9721.1239493
1672830000000,12.847,12.969,12.806,12.841,14254.55241524
1672833600000,12.851,12.94,12.626,12.665,12281.55576438
1672837200000,12.636,12.814,12.631,12.716,18076.3316115
1672840800000,12.699,12.739,12.241,12.685,31704.70096985
1672844400000,12.681,12.709,12.422,12.62,15002.99419044
1672848000000,12.601,12.843,12.506,12.724,13512.12356114
1672851600000,12.701,12.826,12.596,12.677,12971.11398996
1672855200000,12.703,12.785,12.633,12.655,17551.86423431
1672858800000,12.679,12.719,12.342,12.443,20810.79953306
1672862400000,12.443,12.482,12.09,12.227,52933.43477977
1672866000000,12.247,12.417,12.238,12.384,11527.37167723
1672869600000,12.384,12.836,12.384,12.802,16012.35921613
1672873200000,12.766,12.875,12.623,12.661,6448.74629732
1672876800000,12.66,12.66,12.364,12.379,7004.61236475
1672880400000,12.411,12.529,12.271,12.438,2333.82001394
1672884000000,12.458,12.548,12.341,12.485,7748.9257203
1672887600000,12.503,12.505,12.347,12.434,7872.05682177
1672891200000,12.458,12.697,12.458,12.605,20446.31646443
1672894800000,12.564,12.645,12.508,12.55,3088.80541751
1672898400000,12.525,12.551,12.382,12.43,4667.1707392
1672902000000,12.473,12.489,12.364,12.462,10421.22800095
1672905600000,12.457,12.47,12.34,12.397,19416.30639196
1672909200000,12.405,12.423,12.178,12.27,12002.02729335
1672912800000,12.256,12.467,12.256,12.431,11335.2505542
1672916400000,12.425,12.536,12.358,12.495,12647.38161209
1672920000000,12.48,12.565,12.433,12.491,11659.40088161
1672923600000,12.467,12.506,12.412,12.43,4456.91754189
1672927200000,12.418,12.528,12.352,12.485,9428.39178167
1672930800000,12.469,12.699,12.441,12.628,10799.23153955
1672934400000,12.655,12.655,12.469,12.511,2898.12880782
1672938000000,12.529,12.541,12.399,12.452,6771.31002711
1672941600000,12.425,12.547,12.4,12.535,3572.03928133
1672945200000,12.547,12.793,12.513,12.748,12009.00279363
1672948800000,12.718,13.199,12.718,13.041,35195.72617035
1672952400000,13.061,13.061,12.781,12.854,11849.59207668
1672956000000,12.874,12.89,12.708,12.727,5794.94939024
1672959600000,12.754,12.864,12.7,12.749,5063.63384035
1672963200000,12.748,12.891,12.619,12.818,4181.25097508
1672966800000,12.815,12.832,12.726,12.747,1368.34091941
